,times
Squeeze,435
Sin,447
Constant,3297
"('Constant', 'Delay')",372
"('Constant', 'Squeeze')",86
"('Constant', 'Reference')",247
Rounding,462
SubSystem,4055
Inport,11009
Abs,430
Product,1385
Outport,7677
Sqrt,873
Sum,1676
If,422
"('Inport', 'Reference')",1191
"('Product', 'Delay')",115
"('Constant', 'Sum')",308
"('Product', 'Sqrt')",82
"('Sqrt', 'If')",85
"('Product', 'Reference')",214
"('Inport', 'Inport')",505
"('If', 'Inport')",38
"('Constant', 'If')",5
"('If', 'Sqrt')",89
"('Sqrt', 'Constant')",19
"('Inport', 'If')",132
"('Sqrt', 'Sqrt')",28
"('Sum', 'Outport')",529
"('Outport', 'Inport')",247
Terminator,66
"('Constant', 'Rounding')",2
"('Reference', 'Sqrt')",145
DotProduct,454
Assignment,414
ToWorkspace,55
Scope,88
Clock,22
UnaryMinus,410
Bias,424
"('Inport', 'Delay')",1260
"('Inport', 'Bias')",46
"('Bias', 'Constant')",2
"('Bias', 'Inport')",2
"('Reference', 'Outport')",749
"('Delay', 'Inport')",812
"('Delay', 'Bias')",12
"('Sum', 'Inport')",189
"('Delay', 'Outport')",1180
"('Outport', 'Delay')",908
"('Inport', 'Outport')",1013
"('Constant', 'Bias')",2
"('Sum', 'Reference')",408
"('Constant', 'Inport')",142
"('Reference', 'Inport')",465
"('Delay', 'Sum')",544
"('Delay', 'Constant')",335
"('Bias', 'Outport')",4
"('Bias', 'Sum')",4
"('Inport', 'Sum')",604
"('Inport', 'Constant')",340
"('Reference', 'Bias')",53
"('Sum', 'Delay')",592
MinMax,405
Display,49
"('Constant', 'Display')",4
"('Reference', 'Abs')",76
"('MinMax', 'Delay')",88
Gain,450
DataTypeConversion,2008
"('Constant', 'Outport')",211
"('Reference', 'DataTypeConversion')",178
Step,23
"('Product', 'MinMax')",53
"('MinMax', 'Terminator')",40
"('Polyval', 'Product')",48
"('Delay', 'Display')",14
"('Reference', 'Assignment')",89
"('Assignment', 'DiscreteFilter')",3
"('Constant', 'Assignment')",2
"('Product', 'Trigonometry')",27
"('Delay', 'Product')",95
"('Trigonometry', 'Sum')",166
"('Sum', 'DiscreteZeroPole')",118
"('Reference', 'Sum')",379
"('Rounding', 'Sum')",3
"('Squeeze', 'Signum')",36
"('Reference', 'Rounding')",5
"('Display', 'Reference')",62
Ground,23
PermuteDimensions,439
SignalGenerator,20
"('Product', 'Constant')",120
"('Outport', 'Outport')",779
"('Reference', 'Constant')",151
"('Reference', 'Product')",243
"('Outport', 'Constant')",198
"('Outport', 'Product')",145
"('Constant', 'Constant')",74
"('Constant', 'Product')",146
"('Product', 'Inport')",33
RandomNumber,15
DigitalClock,27
"('RandomNumber', 'Outport')",3
"('RandomNumber', 'Reference')",3
"('Reference', 'PermuteDimensions')",5
"('PermuteDimensions', 'UnaryMinus')",3
"('UnaryMinus', 'ComplexToMagnitudeAngle')",3
"('DiscreteTransferFcn', 'Outport')",25
"('Outport', 'Sum')",366
"('Reference', 'UnaryMinus')",52
"('UnaryMinus', 'Reference')",46
"('Reference', 'Terminator')",106
"('DataTypeConversion', 'DiscreteFilter')",11
"('Sum', 'Display')",2
"('PermuteDimensions', 'Reference')",2
"('Constant', 'PermuteDimensions')",29
"('Constant', 'Terminator')",104
"('Inport', 'SubSystem')",175
"('Outport', 'Reference')",423
"('SubSystem', 'Inport')",99
"('SubSystem', 'Outport')",76
"('SubSystem', 'Constant')",9
"('SubSystem', 'SubSystem')",109
"('SubSystem', 'Delay')",316
"('Outport', 'SubSystem')",22
"('Delay', 'SubSystem')",326
Math,444
"('Product', 'DiscreteFir')",43
"('DiscreteFir', 'Sum')",3
"('Sum', 'ComplexToMagnitudeAngle')",113
"('DiscreteIntegrator', 'Sum')",2
"('Sum', 'Squeeze')",128
"('Delay', 'DataTypeConversion')",336
"('Product', 'Sum')",235
"('DataTypeConversion', 'Delay')",330
"('DiscreteZeroPole', 'Outport')",212
"('Rounding', 'DiscreteIntegrator')",2
"('DiscreteIntegrator', 'DataTypeConversion')",9
"('Math', 'Reference')",4
"('Product', 'Outport')",227
Reshape,483
"('Product', 'Product')",75
"('Sqrt', 'Sum')",100
"('Sum', 'Sum')",176
"('DiscreteFilter', 'Product')",71
"('Outport', 'DiscreteFilter')",152
"('DiscreteFilter', 'Sqrt')",88
"('DiscreteFilter', 'Constant')",10
"('Delay', 'Sqrt')",114
"('Inport', 'DiscreteFilter')",126
"('Sqrt', 'Polyval')",34
"('Sqrt', 'DiscreteFilter')",115
"('Product', 'Polyval')",46
"('DiscreteFilter', 'Outport')",230
"('Sqrt', 'Outport')",243
"('Inport', 'Product')",201
"('Sum', 'Sqrt')",71
"('Inport', 'Polyval')",26
"('Sum', 'DiscreteFilter')",67
"('Sqrt', 'Product')",91
"('Constant', 'Polyval')",9
"('Sum', 'Product')",268
"('Outport', 'Sqrt')",179
"('Product', 'DiscreteFilter')",73
"('Polyval', 'Outport')",50
"('Outport', 'Polyval')",35
"('Sqrt', 'Delay')",147
"('Inport', 'Sqrt')",195
"('Polyval', 'Sum')",54
"('DiscreteFilter', 'Sum')",53
"('Polyval', 'Sqrt')",29
"('Sum', 'Constant')",236
"('Constant', 'Sqrt')",14
"('Sqrt', 'Reference')",140
"('Constant', 'DiscreteFilter')",14
"('Sum', 'Polyval')",29
"('Polyval', 'Constant')",7
UniformRandomNumber,24
"('DotProduct', 'Product')",2
"('Constant', 'DotProduct')",3
"('DotProduct', 'Reference')",5
"('Inport', 'DotProduct')",67
"('Product', 'DotProduct')",3
"('SubSystem', 'Reference')",184
"('DotProduct', 'Outport')",139
"('Reference', 'DotProduct')",3
"('Product', 'SubSystem')",5
"('Outport', 'DotProduct')",120
"('DotProduct', 'Inport')",23
"('Reference', 'SubSystem')",189
"('DotProduct', 'Delay')",29
"('Signum', 'Terminator')",41
"('Constant', 'Signum')",68
"('Reshape', 'Delay')",119
"('Polyval', 'Math')",2
"('DiscreteFir', 'MinMax')",2
"('Math', 'Delay')",4
"('Delay', 'MinMax')",77
"('Reference', 'Gain')",3
"('Reference', 'Math')",2
"('Inport', 'S-Function')",7
"('S-Function', 'Outport')",5
"('If', 'Rounding')",2
"('Outport', 'Rounding')",4
"('Rounding', 'Outport')",2
"('Rounding', 'Reference')",5
"('Rounding', 'DotProduct')",2
"('If', 'DotProduct')",75
"('Inport', 'Rounding')",2
"('Rounding', 'Inport')",3
"('If', 'Outport')",242
"('Sum', 'DiscreteFir')",70
"('Bias', 'Delay')",5
"('Delay', 'Math')",3
"('Math', 'Sum')",4
"('Outport', 'DiscreteFir')",250
"('Reference', 'ToWorkspace')",55
"('Product', 'Assignment')",3
"('Assignment', 'Delay')",73
"('MinMax', 'Reference')",88
"('Sum', 'MinMax')",138
"('Reference', 'MinMax')",107
"('Ground', 'Reference')",2
"('Assignment', 'Outport')",22
"('Ground', 'Delay')",3
"('Trigonometry', 'Outport')",240
"('NotInPairs', 'NotInPairs')",2
"('Constant', 'Scope')",2
"('DigitalClock', 'Scope')",2
"('unknown', 'Outport')",10
"('Signum', 'Outport')",63
"('DigitalClock', 'Reference')",40
"('DigitalClock', 'Product')",2
"('Product', 'DiscreteIntegrator')",5
"('unknown', 'Constant')",7
"('DiscreteIntegrator', 'Constant')",2
"('Inport', 'unknown')",18
"('Outport', 'DiscreteIntegrator')",3
"('unknown', 'Inport')",19
"('DiscreteIntegrator', 'Outport')",5
"('Constant', 'UnaryMinus')",45
"('MinMax', 'Outport')",70
"('Sum', 'Sin')",42
"('Sin', 'Squeeze')",102
"('PermuteDimensions', 'Sin')",29
"('Inport', 'Squeeze')",269
"('Squeeze', 'Sum')",115
"('Squeeze', 'Delay')",189
"('Inport', 'Sin')",99
"('Squeeze', 'Squeeze')",84
"('Squeeze', 'Outport')",109
"('Squeeze', 'Constant')",99
"('Squeeze', 'MinMax')",63
"('Sin', 'PermuteDimensions')",38
"('PermuteDimensions', 'Squeeze')",75
"('PermuteDimensions', 'MinMax')",29
"('Delay', 'PermuteDimensions')",63
"('MinMax', 'Inport')",64
"('PermuteDimensions', 'Constant')",30
"('Squeeze', 'Sin')",65
"('Inport', 'PermuteDimensions')",60
"('Squeeze', 'PermuteDimensions')",58
"('Sin', 'MinMax')",24
"('Constant', 'Sin')",24
"('Squeeze', 'Inport')",101
"('MinMax', 'PermuteDimensions')",39
"('Inport', 'MinMax')",174
"('PermuteDimensions', 'Sum')",39
"('Delay', 'Squeeze')",153
"('Outport', 'Sin')",25
"('Sin', 'Delay')",51
"('MinMax', 'Squeeze')",67
"('Sum', 'PermuteDimensions')",33
"('MinMax', 'Sum')",112
"('PermuteDimensions', 'Outport')",37
"('PermuteDimensions', 'Delay')",65
"('Squeeze', 'SubSystem')",7
"('SubSystem', 'MinMax')",6
"('Sin', 'Inport')",34
"('Delay', 'Sin')",72
"('Outport', 'Squeeze')",39
"('MinMax', 'Constant')",94
"('Sin', 'Sum')",41
"('Outport', 'PermuteDimensions')",15
"('Sin', 'Constant')",27
"('MinMax', 'Sin')",35
"('Sin', 'Outport')",41
"('PermuteDimensions', 'Inport')",27
"('MinMax', 'SubSystem')",4
"('SubSystem', 'Squeeze')",8
"('Outport', 'MinMax')",26
"('Constant', 'MinMax')",87
"('Constant', 'SubSystem')",22
"('SubSystem', 'PermuteDimensions')",5
"('PermuteDimensions', 'SubSystem')",2
"('Sum', 'SubSystem')",9
"('SubSystem', 'Sin')",3
"('Sin', 'SubSystem')",8
"('SubSystem', 'Sum')",2
"('Demux', 'Terminator')",4
"('SubSystem', 'Display')",15
"('Bias', 'Reference')",2
"('unknown', 'unknown')",22
"('unknown', 'Sqrt')",4
"('Outport', 'ComplexToRealImag')",86
"('ComplexToRealImag', 'Outport')",57
"('Inport', 'ComplexToRealImag')",76
"('ComplexToRealImag', 'Inport')",17
"('If', 'Delay')",83
"('Delay', 'If')",76
"('Sqrt', 'DiscreteTransferFcn')",2
"('DiscreteTransferFcn', 'Product')",2
"('Sqrt', 'Inport')",73
"('Constant', 'DiscreteTransferFcn')",2
"('Reference', 'Sin')",2
"('Sqrt', 'Assignment')",21
"('Rounding', 'Delay')",10
"('DiscreteFir', 'Rounding')",2
"('UnaryMinus', 'Rounding')",2
"('SubSystem', 'DiscreteFir')",6
"('UnaryMinus', 'Delay')",51
"('DiscreteFir', 'Outport')",309
"('Rounding', 'Sqrt')",2
"('Inport', 'DiscreteFir')",214
"('Sqrt', 'DiscreteFir')",95
"('UnaryMinus', 'Outport')",54
"('Outport', 'unknown')",9
"('UnaryMinus', 'Product')",29
"('Sin', 'Reference')",7
"('Reshape', 'ComplexToMagnitudeAngle')",42
"('Reference', 'Reshape')",3
"('ToWorkspace', 'Reference')",60
"('Sum', 'Assignment')",2
"('Signum', 'Inport')",63
"('ComplexToMagnitudeAngle', 'Product')",4
"('SubSystem', 'Product')",2
"('unknown', 'Product')",7
"('ComplexToMagnitudeAngle', 'Outport')",157
"('Outport', 'ComplexToMagnitudeAngle')",99
"('Sum', 'unknown')",6
"('ComplexToMagnitudeAngle', 'Inport')",27
"('Delay', 'Rounding')",2
"('Constant', 'Trigonometry')",61
"('Clock', 'ToWorkspace')",2
"('Product', 'Terminator')",56
"('Constant', 'ComplexToMagnitudeAngle')",33
FromWorkspace,10
ToFile,23
"('Demux', 'Outport')",7
"('FromWorkspace', 'Demux')",7
"('DiscreteTransferFcn', 'DataTypeConversion')",134
"('DataTypeConversion', 'Reference')",165
"('DiscreteStateSpace', 'DataTypeConversion')",203
"('DataTypeConversion', 'DiscreteTransferFcn')",161
"('DataTypeConversion', 'DiscreteFir')",466
"('DiscreteZeroPole', 'DataTypeConversion')",136
"('DiscreteFir', 'DataTypeConversion')",339
"('DataTypeConversion', 'DiscreteZeroPole')",139
"('DataTypeConversion', 'DiscreteStateSpace')",220
"('Inport', 'DataTypeConversion')",227
"('DataTypeConversion', 'Inport')",83
"('DataTypeConversion', 'Outport')",63
"('SubSystem', 'DataTypeConversion')",235
"('DataTypeConversion', 'SubSystem')",231
"('Outport', 'DataTypeConversion')",78
"('DiscreteStateSpace', 'Inport')",9
"('DiscreteStateSpace', 'Outport')",83
"('DiscreteStateSpace', 'SubSystem')",15
"('DiscreteZeroPole', 'SubSystem')",19
"('Inport', 'DiscreteZeroPole')",218
"('DiscreteFir', 'Inport')",30
"('DiscreteFir', 'SubSystem')",19
"('Inport', 'DiscreteStateSpace')",48
"('DataTypeConversion', 'DataTypeConversion')",5
"('DataTypeConversion', 'DiscreteIntegrator')",8
"('DiscreteZeroPole', 'Inport')",60
"('DiscreteTransferFcn', 'SubSystem')",12
"('Reference', 'Display')",74
"('Sin', 'DataTypeConversion')",9
"('SignalGenerator', 'DataTypeConversion')",4
"('Step', 'Reference')",4
"('Step', 'DataTypeConversion')",5
"('SubSystem', 'Scope')",3
"('SubSystem', 'Terminator')",7
"('Reference', 'Scope')",5
"('Delay', 'Terminator')",57
"('UnitDelay', 'DataTypeConversion')",8
"('Delay', 'Scope')",3
"('If', 'SubSystem')",186
"('RandomNumber', 'DataTypeConversion')",4
"('Constant', 'DataTypeConversion')",7
"('DiscreteFilter', 'DataTypeConversion')",9
"('DigitalClock', 'DataTypeConversion')",3
"('DataTypeConversion', 'UnitDelay')",7
"('DataTypeConversion', 'ToWorkspace')",8
"('DataTypeConversion', 'ToFile')",6
"('DataTypeConversion', 'If')",30
"('Ground', 'DataTypeConversion')",3
"('Clock', 'DataTypeConversion')",2
"('Trigonometry', 'Assignment')",29
"('Inport', 'Trigonometry')",277
"('Assignment', 'Reference')",83
"('Trigonometry', 'SubSystem')",22
"('Delay', 'Assignment')",56
"('Assignment', 'Trigonometry')",28
"('Assignment', 'Sqrt')",36
"('Sqrt', 'Trigonometry')",43
"('Assignment', 'Inport')",41
"('Inport', 'Assignment')",90
"('Sqrt', 'SubSystem')",22
"('Trigonometry', 'Sqrt')",30
"('Trigonometry', 'Inport')",97
"('SubSystem', 'Trigonometry')",23
"('Assignment', 'SubSystem')",23
"('SubSystem', 'Assignment')",26
"('SubSystem', 'Sqrt')",24
"('DiscreteFilter', 'Inport')",14
"('Inport', 'Signum')",113
"('unknown', 'Sum')",3
"('Sum', 'Rounding')",2
"('UnaryMinus', 'DiscreteFilter')",2
"('Squeeze', 'Reference')",37
"('Reference', 'Squeeze')",48
"('Squeeze', 'Product')",2
"('Sum', 'UnaryMinus')",34
"('UnaryMinus', 'Sum')",31
"('Delay', 'UnaryMinus')",21
"('DiscreteStateSpace', 'Sin')",2
"('SubSystem', 'DiscreteStateSpace')",14
"('DiscreteStateSpace', 'Sum')",37
"('Delay', 'Reshape')",91
"('Outport', 'Reshape')",61
"('Sqrt', 'unknown')",2
"('Abs', 'Inport')",18
"('DiscreteZeroPole', 'Product')",74
"('Outport', 'DiscreteStateSpace')",26
"('UnaryMinus', 'Constant')",41
"('DiscreteZeroPole', 'Constant')",53
"('Signum', 'Product')",33
"('Product', 'UnaryMinus')",39
"('Sum', 'Signum')",49
"('Outport', 'Signum')",42
"('Outport', 'DiscreteZeroPole')",123
"('DiscreteZeroPole', 'Sum')",98
"('Inport', 'UnaryMinus')",44
"('UnaryMinus', 'DiscreteZeroPole')",63
"('Signum', 'UnaryMinus')",33
"('DiscreteStateSpace', 'UnaryMinus')",33
"('Product', 'DiscreteZeroPole')",80
"('Constant', 'DiscreteZeroPole')",89
"('UnaryMinus', 'DiscreteStateSpace')",54
"('Constant', 'DiscreteStateSpace')",50
"('Product', 'DiscreteStateSpace')",31
"('UnaryMinus', 'DataTypeConversion')",4
"('DiscreteZeroPole', 'UnaryMinus')",88
"('Signum', 'Constant')",47
"('UnaryMinus', 'Signum')",20
"('DiscreteStateSpace', 'Constant')",30
"('DataTypeConversion', 'UnaryMinus')",3
"('Sum', 'DiscreteStateSpace')",30
"('Outport', 'UnaryMinus')",19
"('DataTypeConversion', 'Constant')",5
"('DiscreteStateSpace', 'Product')",36
"('Product', 'Signum')",31
"('Product', 'DataTypeConversion')",2
"('Signum', 'Sum')",66
"('DataTypeConversion', 'Sum')",2
"('Sum', 'DataTypeConversion')",4
"('SignalGenerator', 'Reference')",2
"('Ground', 'Sum')",3
"('ComplexToMagnitudeAngle', 'Constant')",30
"('Constant', 'DiscreteFir')",42
"('Inport', 'Terminator')",174
"('Ground', 'DiscreteStateSpace')",3
"('Inport', 'DiscreteTransferFcn')",6
"('SubSystem', 'DiscreteZeroPole')",15
"('Outport', 'DiscreteTransferFcn')",5
"('SubSystem', 'DiscreteTransferFcn')",6
"('Clock', 'Reference')",3
"('SubSystem', 'If')",12
"('Clock', 'If')",3
"('Ground', 'SubSystem')",5
Record,4
"('Record', 'Reference')",60
"('Abs', 'ComplexToRealImag')",44
"('Outport', 'Bias')",44
"('Inport', 'ToWorkspace')",59
"('ToWorkspace', 'Record')",32
"('Outport', 'Abs')",77
"('Display', 'Outport')",76
"('Outport', 'Record')",74
"('Display', 'Record')",35
"('Abs', 'ToWorkspace')",38
"('ToWorkspace', 'Bias')",40
"('Record', 'Outport')",60
"('Inport', 'Display')",44
"('Record', 'Abs')",39
"('Record', 'ToWorkspace')",33
"('ComplexToRealImag', 'Record')",46
"('Abs', 'Bias')",32
"('ToWorkspace', 'Display')",33
"('Reference', 'Record')",68
"('Inport', 'Abs')",66
"('ToWorkspace', 'ComplexToRealImag')",53
"('ToWorkspace', 'Abs')",33
"('Outport', 'Display')",96
"('Abs', 'Outport')",54
"('Record', 'Bias')",35
"('Abs', 'Record')",47
"('Display', 'ComplexToRealImag')",35
"('Record', 'Display')",33
"('Inport', 'Record')",68
"('ToWorkspace', 'Outport')",61
"('Abs', 'Display')",63
"('ComplexToRealImag', 'Display')",42
"('Outport', 'ToWorkspace')",79
"('Delay', 'Abs')",23
"('Abs', 'Reference')",42
"('Display', 'Abs')",31
"('ComplexToRealImag', 'Bias')",28
"('Display', 'Delay')",29
"('Abs', 'Delay')",11
"('Record', 'Delay')",35
"('ComplexToRealImag', 'ToWorkspace')",40
"('Record', 'ComplexToRealImag')",37
"('ToWorkspace', 'Inport')",17
"('Display', 'ToWorkspace')",37
"('Display', 'Bias')",33
"('Display', 'Inport')",21
"('Delay', 'Record')",14
"('ComplexToRealImag', 'Abs')",34
"('ToWorkspace', 'Delay')",28
"('Record', 'Inport')",14
"('Delay', 'ToWorkspace')",16
"('Outport', 'Assignment')",3
"('DiscreteFilter', 'SubSystem')",5
"('DiscreteIntegrator', 'SubSystem')",11
"('SubSystem', 'DiscreteIntegrator')",7
"('If', 'DiscreteFilter')",86
"('SubSystem', 'DiscreteFilter')",3
"('DiscreteFilter', 'DotProduct')",43
"('Delay', 'DotProduct')",31
"('Sum', 'ToWorkspace')",2
"('Inport', 'UnitDelay')",73
"('UnitDelay', 'Inport')",26
"('SubSystem', 'UnitDelay')",19
"('UnitDelay', 'Outport')",22
"('UnitDelay', 'SubSystem')",14
"('Reference', 'If')",15
"('DiscreteFir', 'ToWorkspace')",4
"('UniformRandomNumber', 'DiscreteTransferFcn')",2
"('DiscretePulseGenerator', 'SubSystem')",4
"('DigitalClock', 'DiscreteFir')",2
"('UnitDelay', 'If')",2
"('DiscreteStateSpace', 'If')",5
"('SignalGenerator', 'ToWorkspace')",2
"('SignalGenerator', 'SubSystem')",8
"('UniformRandomNumber', 'If')",2
"('UniformRandomNumber', 'Reference')",4
"('UniformRandomNumber', 'SubSystem')",4
"('Step', 'SubSystem')",4
"('DigitalClock', 'SubSystem')",2
"('DigitalClock', 'Delay')",64
"('DiscreteTransferFcn', 'If')",2
"('SubSystem', 'ToFile')",6
"('DiscreteZeroPole', 'ToFile')",2
"('SubSystem', 'ToWorkspace')",2
"('Clock', 'SubSystem')",4
"('Reference', 'ToFile')",2
"('DiscreteIntegrator', 'ToFile')",2
"('Delay', 'ToFile')",2
"('RandomNumber', 'SubSystem')",2
"('Bias', 'Sqrt')",3
"('SubSystem', 'ComplexToRealImag')",2
"('Abs', 'Sum')",2
"('DiscreteFilter', 'Scope')",2
"('ComplexToMagnitudeAngle', 'DotProduct')",2
"('Terminator', 'Outport')",30
"('Reshape', 'Outport')",69
"('Inport', 'ComplexToMagnitudeAngle')",104
"('Outport', 'Trigonometry')",121
"('Sum', 'Trigonometry')",161
"('ComplexToMagnitudeAngle', 'Sum')",98
"('Product', 'unknown')",4
"('unknown', 'If')",2
"('Saturate', 'DataTypeConversion')",2
"('DataTypeConversion', 'Saturate')",2
"('Reshape', 'Reference')",2
"('Squeeze', 'UnitDelay')",2
"('Outport', 'ActionPort')",2
"('ActionPort', 'Outport')",3
"('Inport', 'ActionPort')",2
"('Gain', 'Outport')",3
"('ActionPort', 'Inport')",2
"('If', 'Constant')",3
"('Constant', 'unknown')",8
"('Abs', 'DiscreteZeroPole')",2
"('DiscreteZeroPole', 'Abs')",2
"('DiscreteFilter', 'If')",70
"('DiscreteFir', 'If')",162
"('If', 'DiscreteFir')",176
"('Terminator', 'Reference')",116
"('DigitalClock', 'Outport')",10
"('Constant', 'DigitalClock')",31
"('Terminator', 'Squeeze')",40
"('Squeeze', 'DigitalClock')",29
"('DigitalClock', 'Signum')",35
"('Signum', 'DigitalClock')",27
"('Terminator', 'DigitalClock')",26
"('Terminator', 'Delay')",93
"('DigitalClock', 'Constant')",22
"('Squeeze', 'Terminator')",40
"('DigitalClock', 'Squeeze')",49
"('Sum', 'Terminator')",112
"('Sum', 'DigitalClock')",37
"('Terminator', 'Sum')",115
"('DigitalClock', 'Inport')",43
"('Terminator', 'Constant')",82
"('DigitalClock', 'Sum')",24
"('Delay', 'DigitalClock')",39
"('Signum', 'Squeeze')",43
"('Inport', 'DigitalClock')",84
"('Terminator', 'Inport')",84
"('Terminator', 'Signum')",32
"('Outport', 'Terminator')",23
"('DigitalClock', 'Terminator')",31
"('Reference', 'DigitalClock')",24
"('Outport', 'DigitalClock')",7
"('Outport', 'UnitDelay')",3
"('UnaryMinus', 'PermuteDimensions')",3
"('MinMax', 'If')",2
"('If', 'If')",60
"('DotProduct', 'Sqrt')",44
"('DotProduct', 'DiscreteFir')",89
"('DiscreteFir', 'Sqrt')",128
"('DiscreteFir', 'DotProduct')",89
"('DotProduct', 'If')",82
"('DotProduct', 'DiscreteFilter')",51
"('Outport', 'If')",195
"('Sqrt', 'DotProduct')",51
"('Inport', 'Reshape')",47
"('Constant', 'Gain')",2
"('Inport', 'Gain')",3
"('UnaryMinus', 'Reshape')",2
"('Reshape', 'Inport')",11
"('Reshape', 'Constant')",19
"('UnaryMinus', 'Gain')",2
"('Gain', 'Inport')",2
"('If', 'DiscreteStateSpace')",2
"('MinMax', 'DiscreteStateSpace')",2
"('Trigonometry', 'Terminator')",29
"('Terminator', 'MinMax')",52
"('MinMax', 'Trigonometry')",31
"('Trigonometry', 'Constant')",75
"('Terminator', 'DiscreteFir')",32
"('Terminator', 'Product')",47
"('Trigonometry', 'MinMax')",37
"('Trigonometry', 'Product')",27
"('MinMax', 'DiscreteFir')",43
"('MinMax', 'Product')",72
"('Terminator', 'Trigonometry')",16
"('Trigonometry', 'Reshape')",39
"('Reshape', 'Trigonometry')",38
"('Sum', 'Reshape')",79
"('Reshape', 'Sum')",58
"('ComplexToMagnitudeAngle', 'Reshape')",36
"('Constant', 'Reshape')",39
