,times
"('Constant', 'Sqrt')",20
"('Rounding', 'Constant')",5
"('Sum', 'Inport')",212
"('Sum', 'Gain')",7
"('Gain', 'Delay')",27
"('Product', 'Gain')",7
"('Outport', 'Gain')",7
ToWorkspace,204
DigitalClock,78
"('Inport', 'ToWorkspace')",70
"('Constant', 'Trigonometry')",72
"('ToWorkspace', 'DigitalClock')",2
"('Reference', 'Constant')",179
"('SubSystem', 'Reference')",412
"('Constant', 'SubSystem')",100
"('SubSystem', 'ToWorkspace')",23
"('DigitalClock', 'Outport')",12
"('SubSystem', 'Trigonometry')",31
"('If', 'SubSystem')",359
"('Delay', 'If')",100
"('Product', 'Terminator')",59
"('Reference', 'ToWorkspace')",66
Record,18
"('Sum', 'Polyval')",35
"('Constant', 'DiscreteIntegrator')",25
"('Signum', 'Outport')",81
"('Outport', 'Signum')",46
"('Sqrt', 'Outport')",287
"('Outport', 'Sqrt')",200
RandomNumber,49
"('RandomNumber', 'Outport')",3
"('RandomNumber', 'Reference')",7
"('Reference', 'PermuteDimensions')",25
"('PermuteDimensions', 'UnaryMinus')",2
"('UnaryMinus', 'ComplexToMagnitudeAngle')",6
"('Outport', 'Sum')",394
"('Reference', 'UnaryMinus')",64
"('Reference', 'Terminator')",117
"('DataTypeConversion', 'DiscreteFilter')",11
"('Sum', 'Display')",3
"('PermuteDimensions', 'Reference')",14
"('Constant', 'Terminator')",113
SignalGenerator,52
"('SignalGenerator', 'Reference')",4
"('Inport', 'UnaryMinus')",68
"('DiscreteIntegrator', 'Outport')",41
"('DiscretePulseGenerator', 'DotProduct')",2
"('DiscretePulseGenerator', 'Outport')",5
"('Display', 'Scope')",2
"('Inport', 'Scope')",2
"('Inport', 'Display')",49
"('DiscretePulseGenerator', 'Inport')",5
"('SubSystem', 'UnitDelay')",53
"('Outport', 'SubSystem')",72
"('DotProduct', 'DataTypeConversion')",3
"('Delay', 'DataTypeConversion')",344
"('DataTypeConversion', 'DotProduct')",5
"('Inport', 'DiscreteIntegrator')",171
"('PermuteDimensions', 'SubSystem')",8
"('SubSystem', 'Outport')",157
"('PermuteDimensions', 'Inport')",40
"('Outport', 'DiscreteIntegrator')",28
"('Delay', 'PermuteDimensions')",86
"('Outport', 'Reshape')",67
"('SubSystem', 'Inport')",146
"('Inport', 'PermuteDimensions')",94
"('ComplexToMagnitudeAngle', 'Outport')",185
"('PermuteDimensions', 'Delay')",96
"('ComplexToMagnitudeAngle', 'PermuteDimensions')",5
"('Outport', 'ComplexToMagnitudeAngle')",107
"('Sqrt', 'DotProduct')",56
"('Product', 'DiscreteTransferFcn')",6
"('Scope', 'Sqrt')",2
"('SubSystem', 'DiscreteTransferFcn')",24
"('DiscreteTransferFcn', 'Product')",6
"('Product', 'ToWorkspace')",4
"('Reference', 'SubSystem')",385
"('Reference', 'Scope')",15
"('Reference', 'Reshape')",16
"('Reference', 'Record')",71
"('Reshape', 'Delay')",142
"('UnaryMinus', 'DiscreteZeroPole')",64
"('Inport', 'Polyval')",44
"('Polyval', 'Sum')",64
"('DiscreteZeroPole', 'UnaryMinus')",89
"('DiscreteIntegrator', 'Abs')",8
"('Assignment', 'Constant')",3
"('Delay', 'Record')",16
"('Assignment', 'Sqrt')",40
"('Delay', 'Assignment')",86
