,times
"('Sqrt', 'Sum')",99
"('Sum', 'Sum')",178
"('Reference', 'Product')",258
"('DiscreteFilter', 'Product')",70
"('Outport', 'DiscreteFilter')",155
"('Outport', 'Product')",158
"('DiscreteFilter', 'Constant')",9
"('Delay', 'Sqrt')",121
"('Sqrt', 'Polyval')",35
"('Sqrt', 'DiscreteFilter')",115
"('Product', 'Polyval')",46
"('DiscreteFilter', 'Outport')",234
"('Inport', 'Polyval')",31
"('Sum', 'DiscreteFilter')",68
"('Constant', 'Polyval')",11
"('Product', 'DiscreteFilter')",73
"('Polyval', 'Outport')",56
"('Outport', 'Outport')",804
"('Outport', 'Polyval')",37
"('Polyval', 'Sum')",55
"('DiscreteFilter', 'Sum')",55
"('Polyval', 'Sqrt')",29
"('Sum', 'Constant')",243
"('Constant', 'Sqrt')",12
"('Constant', 'DiscreteFilter')",17
"('Sum', 'Polyval')",31
"('Polyval', 'Constant')",7
"('Signum', 'Terminator')",42
"('Constant', 'Signum')",70
"('Reshape', 'Delay')",131
"('Signum', 'Outport')",68
"('Reference', 'Inport')",470
"('Outport', 'Signum')",43
"('Reference', 'Display')",77
"('UnaryMinus', 'Terminator')",2
"('Polyval', 'Math')",2
"('DiscreteFir', 'MinMax')",4
"('Math', 'Delay')",12
"('MinMax', 'UnaryMinus')",2
"('Reference', 'Gain')",4
"('Reference', 'Math')",6
"('Inport', 'S-Function')",7
"('S-Function', 'Outport')",5
"('Sqrt', 'Abs')",2
"('Abs', 'Reference')",47
"('MinMax', 'Outport')",78
"('Inport', 'MinMax')",184
"('Inport', 'DiscreteFir')",219
"('Sum', 'MinMax')",139
"('Outport', 'SubSystem')",25
"('SubSystem', 'Outport')",81
"('Inport', 'UnaryMinus')",46
"('UnaryMinus', 'Outport')",55
"('Outport', 'DiscreteTransferFcn')",12
"('Reference', 'Scope')",8
"('Delay', 'Bias')",10
"('Bias', 'Delay')",5
"('Sqrt', 'Rounding')",2
"('Reshape', 'Outport')",74
"('Inport', 'Reshape')",53
"('Rounding', 'Outport')",5
"('Sqrt', 'Reshape')",2
SignalGenerator,24
"('Delay', 'SubSystem')",323
"('Sum', 'DiscreteTransferFcn')",4
"('Reference', 'ToWorkspace')",57
"('DiscreteIntegrator', 'Constant')",4
"('Constant', 'DiscreteFir')",43
"('Product', 'DiscreteIntegrator')",6
"('DiscreteIntegrator', 'Product')",5
"('DiscreteIntegrator', 'Outport')",11
"('Inport', 'Abs')",80
"('Abs', 'Sum')",3
"('SubSystem', 'Abs')",2
"('UnaryMinus', 'Delay')",53
"('Constant', 'UnaryMinus')",45
"('Delay', 'UnaryMinus')",26
"('Inport', 'ComplexToMagnitudeAngle')",119
"('UnaryMinus', 'Inport')",3
"('Delay', 'Gain')",11
"('DiscreteZeroPole', 'Assignment')",3
"('MinMax', 'Reference')",93
"('Reference', 'MinMax')",112
"('Ground', 'Reference')",2
"('Ground', 'Delay')",3
"('Trigonometry', 'Outport')",254
"('Product', 'DotProduct')",2
"('DotProduct', 'Delay')",38
"('MinMax', 'Inport')",64
"('NotInPairs', 'NotInPairs')",2
"('Inport', 'DotProduct')",80
"('Sum', 'DotProduct')",4
"('DotProduct', 'Outport')",149
"('ComplexToMagnitudeAngle', 'Sum')",100
"('DotProduct', 'Reference')",3
"('Delay', 'DotProduct')",39
"('Sum', 'SubSystem')",10
"('Constant', 'Reshape')",41
"('Outport', 'Reshape')",63
"('Delay', 'Rounding')",8
"('DiscreteFilter', 'SubSystem')",3
"('Outport', 'Assignment')",5
"('Constant', 'Scope')",2
"('MinMax', 'Sqrt')",3
"('Bias', 'Reference')",5
"('Constant', 'Bias')",3
"('DigitalClock', 'Scope')",2
"('unknown', 'Outport')",10
"('DigitalClock', 'Reference')",40
"('unknown', 'Constant')",7
"('Inport', 'unknown')",18
"('Outport', 'DiscreteIntegrator')",4
"('unknown', 'Inport')",19
"('Sin', 'Sqrt')",2
"('Inport', 'DiscreteStateSpace')",49
"('DiscreteZeroPole', 'Sin')",2
"('DiscreteTransferFcn', 'Sum')",2
"('Outport', 'DiscreteStateSpace')",28
"('Inport', 'DiscreteZeroPole')",225
"('Inport', 'Rounding')",7
"('Product', 'ComplexToMagnitudeAngle')",2
"('DiscreteZeroPole', 'Product')",75
"('Gain', 'Outport')",12
"('Math', 'Constant')",2
"('Gain', 'Math')",2
"('Gain', 'ComplexToMagnitudeAngle')",2
"('ComplexToMagnitudeAngle', 'Product')",4
"('Delay', 'Math')",12
"('Gain', 'Inport')",4
"('Product', 'Math')",3
"('Sum', 'Sin')",42
"('Sin', 'Squeeze')",102
"('PermuteDimensions', 'Sin')",30
"('Inport', 'Squeeze')",275
"('Squeeze', 'Sum')",115
"('Squeeze', 'Delay')",198
"('Squeeze', 'Squeeze')",84
"('Squeeze', 'Outport')",109
"('Squeeze', 'Constant')",99
"('Squeeze', 'MinMax')",64
"('Sin', 'PermuteDimensions')",39
"('PermuteDimensions', 'Squeeze')",76
"('PermuteDimensions', 'MinMax')",29
"('Delay', 'PermuteDimensions')",67
"('PermuteDimensions', 'Constant')",29
"('Squeeze', 'Sin')",65
"('Squeeze', 'PermuteDimensions')",60
"('Sin', 'MinMax')",25
"('Constant', 'Sin')",23
"('Squeeze', 'Inport')",104
"('MinMax', 'PermuteDimensions')",39
"('PermuteDimensions', 'Sum')",39
"('Delay', 'Squeeze')",160
"('MinMax', 'Squeeze')",67
"('Sum', 'PermuteDimensions')",33
"('Squeeze', 'SubSystem')",7
"('SubSystem', 'MinMax')",5
"('Sin', 'Inport')",34
"('Delay', 'Sin')",74
"('Outport', 'Squeeze')",41
"('MinMax', 'Constant')",94
"('Sin', 'Sum')",42
"('Sin', 'Constant')",27
"('MinMax', 'Sin')",35
"('Sin', 'Outport')",35
"('PermuteDimensions', 'Inport')",29
"('SubSystem', 'Inport')",98
"('MinMax', 'SubSystem')",4
"('SubSystem', 'Squeeze')",8
"('Outport', 'MinMax')",27
"('Constant', 'MinMax')",88
"('SubSystem', 'Constant')",7
"('SubSystem', 'PermuteDimensions')",5
"('PermuteDimensions', 'SubSystem')",3
"('SubSystem', 'Sin')",2
"('Sin', 'SubSystem')",6
"('SubSystem', 'Sum')",2
"('Demux', 'Terminator')",4
"('SubSystem', 'Display')",15
"('Rounding', 'Reference')",5
"('Delay', 'Abs')",29
"('Rounding', 'DiscreteTransferFcn')",2
"('Outport', 'Rounding')",3
"('unknown', 'unknown')",22
"('unknown', 'Sqrt')",4
"('Squeeze', 'DotProduct')",2
"('UniformRandomNumber', 'Reference')",6
"('Reference', 'Squeeze')",51
"('Sqrt', 'DiscreteTransferFcn')",4
"('DiscreteTransferFcn', 'Product')",4
"('Constant', 'DiscreteTransferFcn')",6
"('Reference', 'DotProduct')",5
"('Reference', 'Sin')",3
"('DataTypeConversion', 'Signum')",2
"('Product', 'DataTypeConversion')",3
"('UnaryMinus', 'DataTypeConversion')",5
"('DataTypeConversion', 'UnaryMinus')",5
"('DataTypeConversion', 'DataTypeConversion')",6
"('DataTypeConversion', 'Product')",2
"('Abs', 'Math')",2
"('Math', 'Outport')",6
"('Inport', 'Math')",9
"('Constant', 'DotProduct')",6
"('DotProduct', 'Inport')",27
"('DotProduct', 'Constant')",3
"('Constant', 'ComplexToMagnitudeAngle')",36
"('Inport', 'Gain')",9
"('Math', 'Display')",2
"('Outport', 'unknown')",9
"('UnaryMinus', 'Product')",29
"('Product', 'ToWorkspace')",2
"('DiscreteFir', 'Product')",2
"('Sin', 'Reference')",4
"('ComplexToMagnitudeAngle', 'Rounding')",2
"('Reshape', 'ComplexToMagnitudeAngle')",42
"('Reference', 'Reshape')",8
"('ToWorkspace', 'Reference')",60
"('Sum', 'Assignment')",2
"('DiscreteFir', 'Outport')",317
"('DiscreteFir', 'Inport')",33
"('Math', 'Product')",3
"('Signum', 'Inport')",62
"('SubSystem', 'Product')",2
"('unknown', 'Product')",7
"('Product', 'SubSystem')",5
"('Sum', 'unknown')",6
"('ComplexToMagnitudeAngle', 'Inport')",28
"('Polyval', 'Inport')",3
"('Clock', 'ToWorkspace')",2
"('Abs', 'Inport')",20
"('Inport', 'Trigonometry')",286
"('Product', 'Terminator')",56
"('Product', 'Signum')",32
"('Signum', 'Product')",34
FromWorkspace,10
ToFile,23
"('Demux', 'Outport')",7
"('FromWorkspace', 'Demux')",7
"('DiscreteTransferFcn', 'DataTypeConversion')",134
"('DataTypeConversion', 'Reference')",165
"('DiscreteStateSpace', 'DataTypeConversion')",203
"('DataTypeConversion', 'DiscreteTransferFcn')",161
"('DataTypeConversion', 'DiscreteFir')",466
"('DiscreteZeroPole', 'DataTypeConversion')",136
"('DiscreteFir', 'DataTypeConversion')",339
"('DataTypeConversion', 'DiscreteZeroPole')",139
