,Sample1001.mdl,Sample1003.mdl,Sample1012.mdl,Sample1016.mdl,Sample1023.mdl,Sample1028.mdl,Sample1044.mdl,Sample1053.mdl,Sample1057.mdl,Sample1081.mdl,Sample1091.mdl,Sample1108.mdl,Sample111.mdl,Sample1125.mdl,Sample1155.mdl,Sample1188.mdl,Sample120.mdl,Sample155.mdl,Sample161.mdl,Sample165.mdl,Sample170.mdl,Sample180.mdl,Sample2.mdl,Sample21.mdl,Sample215.mdl,Sample231.mdl,Sample260.mdl,Sample261.mdl,Sample274.mdl,Sample275.mdl,Sample288.mdl,Sample289.mdl,Sample292.mdl,Sample295.mdl,Sample299.mdl,Sample301.mdl,Sample319.mdl,Sample32.mdl,Sample323.mdl,Sample331.mdl,Sample333.mdl,Sample334.mdl,Sample335.mdl,Sample341.mdl,Sample354.mdl,Sample355.mdl,Sample361.mdl,Sample362.mdl,Sample367.mdl,Sample37.mdl,Sample377.mdl,Sample384.mdl,Sample39.mdl,Sample404.mdl,Sample409.mdl,Sample424.mdl,Sample425.mdl,Sample44.mdl,Sample443.mdl,Sample448.mdl,Sample467.mdl,Sample485.mdl,Sample486.mdl,Sample487.mdl,Sample488.mdl,Sample490.mdl,Sample498.mdl,Sample511.mdl,Sample527.mdl,Sample531.mdl,Sample532.mdl,Sample541.mdl,Sample546.mdl,Sample567.mdl,Sample57.mdl,Sample580.mdl,Sample594.mdl,Sample60.mdl,Sample607.mdl,Sample612.mdl,Sample615.mdl,Sample617.mdl,Sample646.mdl,Sample656.mdl,Sample666.mdl,Sample673.mdl,Sample674.mdl,Sample676.mdl,Sample681.mdl,Sample683.mdl,Sample686.mdl,Sample69.mdl,Sample706.mdl,Sample716.mdl,Sample730.mdl,Sample732.mdl,Sample742.mdl,Sample744.mdl,Sample745.mdl,Sample752.mdl,Sample754.mdl,Sample771.mdl,Sample788.mdl,Sample792.mdl,Sample807.mdl,Sample809.mdl,Sample811.mdl,Sample818.mdl,Sample823.mdl,Sample839.mdl,Sample840.mdl,Sample845.mdl,Sample847.mdl,Sample85.mdl,Sample862.mdl,Sample864.mdl,Sample870.mdl,Sample874.mdl,Sample900.mdl,Sample91.mdl,Sample92.mdl,Sample951.mdl,Sample953.mdl,Sample974.mdl,Sample983.mdl,Sample984.mdl,Sample990.mdl,Sample992.mdl,Sample994.mdl,Sample997.mdl
Sample1001.mdl,0.0,34.28685472233859,33.24306908369408,40.22166185069412,46.53686926672001,33.86698856698857,34.04192696192696,52.33789132014939,39.762720225510925,57.7993815073815,91.1701285362318,39.15782246427409,35.9003219003219,33.255995855995856,34.323186914096,59.542756146459865,28.552380952380947,36.33572642635142,39.05658331567423,35.262543180725,36.6010989010989,35.25437107695171,120.27298405497999,37.69068918502881,24.476923076923075,33.32417582417583,57.977236343903,40.13318903318905,27.400000000000002,145.3049576027837,48.39414260952723,33.18100614663114,36.61373348873348,33.29747899159665,31.085714285714285,34.171428571428585,37.0,124.13196560441972,38.07391454699147,45.85971839608202,36.82264593045843,118.57393436791772,36.125789980628696,35.14975614663114,77.17902883979104,30.303703703703704,118.11550215154276,40.000000000000014,127.29775180697467,33.13571428571429,59.704828504828505,51.101340539802074,36.187499999999986,27.955555555555552,29.67272727272727,124.24263107444479,58.62756094035163,35.418007918007916,39.301401280711616,70.32101621455469,127.11145042407951,108.1174779898464,36.26675546675547,38.24000000000001,40.102645180906066,35.36744186046512,156.27169683025377,125.38333673700161,27.73333333333333,37.221887431564866,34.05535055222555,28.20571428571428,36.17142857142857,37.16652236652238,37.254596657822475,36.273882020757014,64.15270959447264,37.93551377397532,30.312500000000004,52.657457232033515,37.38311957402867,30.22211301243559,29.552380952380947,34.11806908369408,26.31428571428572,32.21904761904762,36.93365523365524,40.354320987654326,29.387012987012984,32.331868131868134,36.6741770774029,55.467199467199464,36.09353191611257,40.8015651015651,32.21238483738484,31.046727129080075,32.183193277310934,120.23409505172883,43.000000000000014,33.27213114754098,56.52577982966333,39.26582306582308,110.1676464460469,125.07612311246031,34.14935064935065,35.285714285714285,45.2007722007722,55.11123756417873,35.93342213342214,54.1998199632346,36.7979933110368,26.400000000000002,36.25459665782246,75.03255862459402,35.06355268662961,36.350468527887884,28.52142857142857,44.22956259426847,38.09962259962261,35.106534206534214,28.114285714285717,36.274319083694074,117.13263542435887,27.900000000000002,81.20079070666439,31.000000000000004,124.38104047891983,28.576470588235292,32.932955932955934,130.2173851148851
Sample1003.mdl,34.28685472233859,0.0,11.137665974258713,14.194225129709002,30.148246884982555,8.424167230618847,6.258298046039982,34.09804120610572,27.07502936340146,37.485983006241064,96.89681533915282,11.193548387096774,12.456209113467175,11.47851133335004,8.206420168297003,35.44269097865275,14.938774845226456,10.238740303155627,19.285941412774257,13.085170374319935,34.31056971702133,7.032483645386871,119.8392150465128,15.860786005095193,20.349031255482874,35.3874927939444,49.39603813152199,12.222482893450637,23.272108178559794,143.16591635417723,22.434689517816064,9.184474004937712,14.963213399503724,29.095637590324497,29.372569008052874,36.172569008052875,8.72789182144021,122.21081950881617,27.118434680841624,28.68687658599682,14.929300957778779,105.47738319394797,10.226032032483644,11.20564335977642,70.8956233418426,32.3832192896709,116.25878385573816,25.727891821440203,125.07571997038403,35.222108178559786,53.400208035691904,46.20089879792114,34.4636404366243,23.82766373411535,23.544835451287067,125.86700609420566,40.356953136885615,13.78036754165786,21.212830365778085,55.68969529615682,125.30527842116409,105.92388801068769,10.088916459884203,34.512108178559785,24.863712647022606,31.377884622670816,154.1195841572345,114.68941757116265,21.605441511893122,11.064967290773742,8.234221636338571,26.432108178559794,38.16304519852906,11.189149560117304,11.032258064516128,10.103962782289395,63.89534709568937,26.897861094883424,32.5846081785598,38.591140831709446,11.104084988542466,12.129257838935256,15.938774845226456,12.1719401678071,20.12925103570265,26.33877484522646,15.35750056395218,26.047843514510177,29.346594982078855,34.04133894779056,11.613128806677194,33.35847629073435,12.193773967967516,28.171003906487783,10.090852695691403,17.251333507310743,28.21328464914803,116.23849444535202,22.727891821440203,35.18802568252594,46.516137305990114,15.089848860816604,109.89057322605709,123.37325438342879,34.40847181492343,37.34231690721253,41.18492422040809,44.407549931269095,10.35773366418528,51.469613156316534,24.168364516891863,20.272108178559797,8.032258064516128,78.94527797722202,15.257945748764604,12.258966839612,27.897108178559797,30.877460195297004,12.256049327017072,19.227667195409133,21.986393892845506,8.027786942000649,120.93099854134832,23.772108178559797,80.87076033574156,22.872108178559788,115.68336249572081,22.44857876679509,9.358199864651482,128.18018389316777
Sample1012.mdl,33.24306908369408,11.137665974258713,0.0,13.188745942677395,27.102089095605887,5.509413850038849,7.368500735375735,33.05110103829862,24.013239223631665,36.459526709401715,91.85302970050832,12.21427887748452,9.344752816627818,8.419474391349388,7.265723891007982,36.33123468181338,14.024021464646465,9.344842657342657,16.239001244967152,10.133110460667279,29.27081633644134,10.170149619645587,118.7954294078683,14.778693914837783,17.309277874902875,32.34773941336442,48.352252492877476,13.243213383838382,18.2323547979798,146.0923971951961,23.512749350008963,6.125437062937063,13.881121309246312,26.0558842097445,28.328783369408367,29.128783369408367,9.767645202020203,119.15427066267527,26.074649042197112,27.643090947352313,13.847208867521367,104.3848466791994,9.246311361129909,10.219187062937063,71.85183770319809,25.34346590909091,113.19312168197003,24.7676452020202,126.03193433173954,32.1823547979798,48.3564223970474,39.15711315927664,31.4198547979798,20.787910353535352,22.505082070707072,118.82322045556116,35.32398521213929,12.698275451400452,20.101374068938725,54.5998550669416,126.24622208637057,104.88010237204318,9.151313616938618,31.472354797979797,19.819927008378098,30.33409898402631,155.07418710741155,111.58111580348589,18.56568813131313,8.202633265032457,7.312718531468532,25.3923547979798,33.119259559884554,8.209880050505049,10.169924038774841,9.156687062937063,62.851561457044845,21.854075456238917,29.5448547979798,35.54735519306494,10.20444442972852,9.024988329323005,15.024021464646465,11.25,19.089497655122656,23.29902146464646,10.31774718337218,24.939541746833413,26.302809343434337,33.00158556721057,10.697924264355715,32.32007194194695,9.278569425646037,25.127218267843265,7.219315753690754,14.204393339503635,27.17353126856803,117.1693788118124,21.7676452020202,30.14424004388143,43.472351667345585,14.11057935120435,108.84678758741258,124.29983633668225,29.36871843434344,34.298531268568034,38.141138581763585,41.3637642926246,9.317980283605284,48.42582751767202,19.12457887824736,19.2323547979798,11.169924038774841,77.90149233857751,12.211005580957503,13.253487652580393,22.8573547979798,25.833674556652497,11.276779817404815,16.180727027602025,20.946640512265514,9.15625,115.88721290270381,18.7323547979798,79.82697469709706,17.832354797979797,112.57506072804404,19.408825386215092,8.48511315073815,125.13639825452326
Sample1016.mdl,40.22166185069412,14.194225129709002,13.188745942677395,0.0,34.21343975662703,12.55285359801489,8.43224667805313,38.034201819685684,29.092357121914514,39.55117587788555,101.01588407897361,13.25874125874126,10.521401985111662,13.608220334026784,10.169951260860353,37.507883850297226,16.87358197358197,10.368096833721832,23.324741322541904,13.160138417029913,38.24537684537685,13.22625761335439,123.95644446621323,19.73594614623221,24.28383838383838,39.322299922299926,57.4750109309249,16.286322279870664,23.206915306915306,147.2262774797277,26.564398518492812,13.314183005614456,18.833504398826978,31.03044471868001,35.30737613640839,40.1073761364084,10.79308469308469,122.28968393697244,33.246790196293915,32.69401998023699,16.993922827844198,105.52878296214418,14.291224904128132,15.282933005614456,75.01073856386135,32.31802641802641,116.33480598327495,31.793084693084694,129.16820870530688,39.1569153069153,55.46795749053813,46.241342225461345,38.39844756497982,25.762470862470863,27.47964257964258,127.98425049854684,44.4221460085301,17.65373073760171,25.278023237422573,55.72584237488454,129.3865919934459,110.03457435320765,12.206519287164452,38.4469153069153,28.992068162474897,37.31269175102632,158.21117562506063,114.75325695758268,25.540248640248635,9.258290096999776,12.376027411208863,30.366915306915306,40.09785232688458,13.252988946537336,13.22648319422513,10.181252428127427,68.01040650690022,30.92365250777161,30.519415306915306,40.52594796006497,13.229883920793014,16.193999548838256,17.87358197358197,14.301649168483847,24.06405816405816,30.27358197358197,17.486186931348225,32.11168290093021,33.281402110434364,39.97614607614609,11.742837807353938,37.423669162378836,14.32348296864426,32.299359421940075,10.158061696368147,21.18749412089071,32.148091777503545,118.30986962679842,28.793084693084694,39.12283281088146,48.586240394257935,17.153688247236634,114.00779495045353,127.44096973884106,36.34327894327894,43.27712403556804,43.11973134876361,48.477081917309626,12.486089179637569,53.54918818396395,26.209763510605022,24.206915306915306,14.22648319422513,81.0609491268926,19.285090646877244,16.12925783893526,27.831915306915306,33.00581571074929,16.319888713437102,23.1638278089891,25.921201021201014,12.219995942677395,121.05239652672378,23.706915306915306,84.986963393083,26.8069153069153,115.74720188214084,24.383385895150603,13.540318820963986,130.27103940862008
Sample1023.mdl,46.53686926672001,30.148246884982555,27.102089095605887,34.21343975662703,0.0,27.867037771515385,28.054004138481744,44.198977946570636,35.076821724305226,45.35743761379582,94.88329043790529,30.954698497885783,29.75733627897807,29.04372581536761,28.295687909256433,45.294444093670194,33.26323742592399,30.381633245485858,34.465360577911454,31.113907400203193,48.575330805181544,31.180730530369427,121.82569014526521,33.831254708556884,34.61379234364309,45.65225388210463,57.38251323027443,31.934170638648254,37.53686926672001,141.12265793259306,38.455011387387955,27.039152032668824,32.958210404852196,39.36039867848472,39.62258355243429,48.422583552434304,30.46313073327999,118.18453140007222,39.12213136397982,42.943817537304646,34.88679796312726,118.02438271323784,29.922214852498914,24.942603525206138,76.88209844059502,40.64798037783112,114.22338241936697,41.463130733279975,119.06219506913642,45.48686926672001,57.38758770251307,54.18737389667356,42.724369266720025,38.09242482227557,39.80959653944728,119.85348119295809,46.2218961165334,33.770602642244434,37.84123226804647,67.63011580433856,125.27648282376745,101.91036310944011,28.067270871748487,46.77686926672002,40.877442774976835,45.60663670858047,150.10444784480845,126.61137654088282,35.87020260005334,31.08418191769178,26.03700911961173,36.696869266720014,46.39401212386286,30.967503971981586,31.115988820466423,30.193477651080265,57.881822194441796,38.92719880366265,46.849369266720025,54.653507658263536,31.235755249323773,28.088770973315984,32.26323742592399,32.0367905881432,36.39401212386287,38.60353593338668,28.874002945644744,40.5009562392647,37.555051084901834,50.30610003595078,28.793182594434395,39.21798284634105,28.0189890460473,42.193015607940985,28.192474834452447,32.125636932572846,42.47804573730826,116.19963954920932,40.463130733279975,43.38932828311345,58.50261240474253,31.068203272680886,107.8770483248095,125.33009707407919,46.673232903083644,49.59569279613177,53.4287611586119,52.394025030021524,29.87423604587784,61.456088255068956,34.182094644846096,38.536869266720025,30.115988820466423,82.93175307597444,32.45839120695607,30.27818146653004,38.161869266720025,40.88266517406113,29.90107040554802,34.510647782289574,40.25115498100573,30.1305405881432,114.91747364010077,38.036869266720025,80.85723543449399,39.136869266720005,125.605321465441,36.7133398549553,25.00107040554802,128.1666589919202
Sample1028.mdl,33.86698856698857,8.424167230618847,5.509413850038849,12.55285359801489,27.867037771515385,0.0,4.222557442557443,31.681348221670792,22.790647079019166,39.20477389277389,96.5476772670123,9.346747875780135,8.454166666666666,7.556203056203057,4.589531680440771,33.16148186518557,10.514607614607618,6.527071192696193,14.926824185915091,9.431918250100072,31.886402486402485,7.391683585231973,119.4956132202255,14.281780064798934,17.92486402486403,32.96332556332556,49.102097902097896,10.333799533799533,18.847940947940952,146.88153406979495,20.017996533381147,5.447350912975912,13.38420745920746,24.671470359705655,26.952702852702853,33.75270285270285,7.152059052059052,119.92643722443387,24.783183910106985,26.345798309434677,13.350746649184147,101.27091613103504,6.314715392134746,7.291100912975912,72.53691302832473,27.959052059052055,113.97440157135586,26.152059052059055,126.789244079765,30.79794094794095,51.089432789432784,39.871142532681006,32.04377428127428,19.403496503496505,21.120668220668225,123.51968895846348,36.07574402341844,12.201361601361599,16.931621252310915,51.40531301177454,125.02089613678179,105.57770606586398,6.4002331002331,30.08794094794095,20.443846491672577,30.958018467320787,155.83520187285217,108.40503528678038,17.181274281274288,9.359199939845105,4.196695318570318,24.007940947940952,35.74317904317903,5.3004662004662,7.391909166102715,6.415226787101786,63.53826514456751,22.52414878568725,30.160440947940945,34.17127467635942,7.528252219161311,8.48845777878036,11.514607614607616,10.296913850038848,17.705083805083806,21.914607614607615,11.266666666666666,23.763461230127902,26.926728826728823,31.617171717171715,7.1964358222422735,35.077267177267174,8.230844424392814,23.760661560661564,6.478729603729604,12.834640522875814,25.789117418529184,115.95411216096976,21.152059052059055,34.76815952717591,42.179766296271154,9.4011655011655,109.54452410540739,127.0888720990465,29.984304584304585,36.922450751862506,38.765058065058064,39.99160534454652,8.333566433566432,49.087145374950246,19.748498361541838,17.84794094794095,8.391909166102717,78.60653276582481,10.872021995098917,10.61759530791789,23.472940947940945,26.500731294848944,8.234032634032634,14.896688496688494,19.562226662226664,6.415663850038849,120.58386756500974,19.34794094794095,80.53157913712143,16.447940947940946,109.39898021133853,20.024411536176245,5.134032634032634,129.8906748806749
Sample1044.mdl,34.04192696192696,6.258298046039982,7.368500735375735,8.43224667805313,28.054004138481744,4.222557442557443,0.0,29.839743160065737,20.994156902529,37.39174025974026,98.75118709052214,7.23802154834413,6.380890775890776,5.404545084545084,2.4304283595192686,35.34844823215194,8.70859362859363,4.327629107004108,15.027643366734274,9.30925391107209,32.0803885003885,7.2262655623945955,119.6991230437353,12.104337507356373,18.118850038850038,33.15731157731158,51.305607725607715,8.232547452547452,17.04192696192696,145.08504389330471,20.176391471776085,5.273420815295815,11.206764901764902,24.865456373691664,27.127641247641243,33.92764124764125,2.9580730380730373,122.1299470479437,24.986693733616804,26.556234539870907,9.172852460039959,101.39372726362025,6.205537902957259,7.149313672438671,72.74042285183455,28.153038073038072,116.1779113948657,25.95807303807304,126.99275390327482,30.991926961926968,51.29294261294262,42.07465235619083,32.22942696192696,17.59748251748252,19.314654234654235,125.7231987819733,40.26271039038481,10.023919043919042,17.119441937372976,49.608822835284364,127.2244059602916,105.7812158893738,6.241838161838161,30.28192696192696,22.618784886610975,31.132956862259185,156.03871169636201,110.60854511029022,17.375260295260297,5.194233078749209,4.056219266844266,22.20192696192696,35.91811743811744,7.199214119214119,7.226039981523853,4.275187798312797,63.74177496807732,24.727658609197064,26.35442696192696,34.346213071297825,5.349716478807388,8.367279387279382,9.70859362859363,10.181000735375736,15.89906981906982,22.108593628593624,11.289224109224108,23.966971053637717,27.101667221667213,31.81115773115773,7.382496428302882,33.264233544233534,8.108763709408867,23.96417138417138,6.304542124542124,12.998561177384707,23.983103432515193,118.15762198447958,20.95807303807304,32.943097922114305,40.38327611978098,9.29991341991342,109.74803392891721,125.29238192255633,30.1782905982906,37.10075049133872,38.939996459996465,42.195115168056354,6.2894572094572085,49.29065519846007,19.934616880703835,16.04192696192696,6.226039981523853,78.81004258933464,10.999647702724623,8.49698838795613,21.66692696192696,26.70424111835876,8.18992340992341,14.969369149369149,17.756212676212677,4.242607878232878,120.78737738851954,17.54192696192696,80.73508896063124,18.641926961926963,111.60249003484836,18.218397550162255,5.137542457542457,128.09418470418467
Sample1053.mdl,52.33789132014939,34.09804120610572,33.05110103829862,38.034201819685684,44.198977946570636,31.681348221670792,29.839743160065737,0.0,38.915006053378136,53.46149018723213,110.72726559477205,30.969008948041203,33.7063482216708,32.988705499995824,30.128180177593663,45.322746148492854,33.133590244880565,32.14594369564127,39.31943117163058,35.067611789752554,46.37635285861092,33.06600872246033,131.67336222786489,35.58755514790208,36.414814397072455,51.45327593553401,67.24159028943978,31.948481088803664,39.337891320149375,151.03214830362094,38.11744598109362,30.98816397536155,34.5531900894804,41.161420731914085,41.42360560586367,50.22360560586367,32.66210867985061,130.07858444802548,40.998113604068934,48.50241534830978,36.83379377678772,111.95792726407242,31.936525302654335,30.95691397536155,90.71254783828243,42.44900243126051,128.13281982195525,49.66210867985061,134.94225240262674,49.287891320149384,65.21770183221795,63.97210554816014,50.52539132014939,37.89344687570493,41.61061859287667,129.6974529507436,50.28966962020226,35.52510613639646,39.78621195267468,69.54803426901196,129.17799999315156,119.74891199632286,34.0815813219039,50.577891320149384,46.63636815887868,49.40765876200986,159.9889243397957,124.5939103901716,35.671224653482724,35.03397623881495,29.863819569767145,42.49789132014938,52.19503417729225,34.981814422137,35.06578314158959,32.08278810123568,73.71384414371728,46.648507760046215,48.65039132014939,50.190548904955705,35.189459638873124,32.0337506579442,34.133590244880565,37.92610103829862,34.19503417729224,42.40455798681606,34.75231596360628,48.44695998943311,45.3560731383312,50.107122089380155,34.484912399428524,29.273003161712843,31.904267238138207,47.98025863025863,34.01928528460786,29.30591073484811,44.27906779073762,126.1113369252502,46.66210867985061,49.19035033654283,64.31038897247792,37.0825137228363,115.72226541774279,131.2467394504998,48.47425495651302,51.39671484956115,55.229783212041276,50.12165691852599,29.752549063839375,69.22723999053663,43.85546603155299,38.33789132014939,32.06578314158959,96.7827235034343,35.326447814661215,36.163459658620944,43.96289132014939,46.81294605668418,31.91538085570343,33.408008419298746,40.0521770344351,28.08235103829862,126.76578513832415,39.83789132014939,94.70830178240178,38.93789132014938,125.58785531472977,38.51436190838468,28.748714189036765,134.04204998406607
Sample1057.mdl,39.762720225510925,27.07502936340146,24.013239223631665,29.092357121914514,35.076821724305226,22.790647079019166,20.994156902529,38.915006053378136,0.0,50.036661281870565,91.97887982963013,25.92799260421166,22.670492040259486,20.004903537461676,21.135640352130835,43.797836667431824,25.73171247357294,23.309384938382035,28.75897936923307,28.046807753361662,37.808337399035075,24.107061847046847,116.92977801347696,24.535252855963684,28.21173632568982,37.080251531414326,44.67837588767821,24.90335917312661,29.13481324876674,138.1456493770245,37.01961558616297,21.951176286568728,23.626594658571396,32.95834266053144,30.848434511225207,39.81321856438136,23.237279774489075,117.19732681505793,30.38671182723061,28.80284736014123,23.571553611924248,101.60191181682539,20.895960120566276,23.919926286568728,65.96149056577597,29.892780518361906,107.24632089535879,32.23727977448907,118.07585158339235,34.791789992952786,46.463690572992896,43.401998796274285,37.95022022551093,27.690368804322297,31.407540521494013,110.95541624489073,46.88809652879418,24.26658337356012,24.050308962177443,52.91563818173478,114.29423487153134,96.97706935727132,25.036925606693046,34.00272022551093,30.597761153575107,36.83248766737139,149.11881850314606,109.98959194200407,25.46814658210007,24.010062072627715,20.96650906425616,25.961789992952788,41.756075707238494,25.93669250645994,26.042771298885327,23.12254053278763,56.963405023291294,30.509789885460734,36.07522022551093,43.98657776332197,24.16738414666533,22.99228315237318,24.73171247357294,28.96672759572469,25.991956105909594,25.829386892177588,23.7239804123525,30.980607104638107,28.801198026779424,39.53910662980431,25.720416234594786,39.94186975814882,24.946222686207687,25.228043274554903,25.030520093601496,24.442068267649656,29.86531940471749,113.22483799865375,31.237279774489075,38.64262872722651,43.625556781844885,26.035993205760644,104.95311439023564,118.3602405239033,37.905426356589146,43.041789992952786,46.65461211740281,31.661330836159838,24.723747312119396,54.6817584633807,23.214241740733144,28.13481324876674,27.042771298885327,75.99517969015807,22.759389408047728,25.15664767007603,29.722022551092323,30.577193485948616,24.869792739560175,26.765740891322285,29.849098963052448,25.06047759572469,116.00872586956481,29.63481324876674,77.94265013370794,30.734813248766734,110.98787451191345,30.311283837002037,19.923281111653203,117.17868228670554
Sample1081.mdl,57.7993815073815,37.485983006241064,36.459526709401715,39.55117587788555,45.35743761379582,39.20477389277389,37.39174025974026,53.46149018723213,50.036661281870565,0.0,105.55505640991005,40.292434619144295,37.114773892773904,40.40116342916343,39.63342403051494,50.25662536092166,44.50604817404816,39.71936936674437,47.822798191707285,38.45164352146171,53.83784304584303,38.51846665162794,132.49745611727008,45.18869232235271,43.87630458430458,58.91476612276612,70.0636619183286,41.271906759906756,48.7993815073815,153.79442390459778,49.445238897854274,38.396589646464655,44.31564801864801,54.62291091914621,54.88509579309578,53.68509579309579,39.20061849261849,134.856297372077,49.813598828521904,50.20632977796615,44.24423557692309,116.69614868524262,41.25995097375743,38.28033964646465,89.5538644125998,49.91049261849262,120.89514839137175,52.20061849261849,137.73396104114127,56.74938150738151,66.10147940947942,66.86309591263438,55.98688150738151,49.354937062937054,51.07210878010878,122.52524716496285,59.17182056702987,43.12804025604025,49.19866988184228,76.30188177634331,133.94824879577223,122.58212908144486,37.40500699300699,62.039381507381506,45.733258065605895,56.86914894924195,156.77621381681325,131.2831425128876,47.132714840714826,40.421918038950295,39.37474524087024,49.9593815073815,57.656524364524344,40.305240093240094,40.453724941724936,39.53121377233877,72.55358816644654,50.090973960512436,58.11188150738151,59.34497512280564,42.57349137058228,39.44620858711182,45.50604817404816,39.37452670940171,45.65652436452436,51.86604817404817,42.23144055944056,53.85839385306051,52.81756332556332,59.568612276612264,36.130918715692914,46.33218204018204,39.35672516730581,51.14067354867355,35.530210955710956,43.48307454636866,51.74055797796974,126.8714055212141,51.20061849261849,54.651840523774936,69.27476672626187,44.4059393939394,120.54881429681429,136.0018630460839,55.935745143745145,56.85820503679326,62.6912733992734,69.0657910020263,39.23167365967366,72.12785422707373,49.00138819634471,47.79938150738151,37.453724941724936,95.60351904797925,43.8158288207519,43.61591758778855,53.42438150738151,53.634524795465964,43.23880652680653,45.8680853960854,49.51366722166722,39.46827670940171,121.58923961210556,49.29938150738151,93.52900140649876,50.399381507381506,134.27708743744577,47.97585209561679,36.33880652680653,128.83842496392498
