,times
Rounding,496
Constant,3517
SubSystem,5264
Inport,12496
Abs,462
Product,1472
Outport,9033
Sqrt,943
Sum,1784
If,548
"('Inport', 'Reference')",1480
"('Product', 'Delay')",119
"('Constant', 'Sum')",302
"('Product', 'Sqrt')",82
"('Sqrt', 'If')",85
"('Product', 'Reference')",214
"('Inport', 'Inport')",494
"('Sum', 'If')",2
"('If', 'Inport')",33
"('Constant', 'If')",10
"('If', 'Sqrt')",89
"('Sqrt', 'Constant')",17
"('Inport', 'If')",129
"('Sqrt', 'Sqrt')",28
"('Sum', 'Outport')",524
"('Outport', 'Inport')",256
Terminator,94
"('Constant', 'Rounding')",3
"('Sqrt', 'Terminator')",2
"('Reference', 'Sqrt')",144
"('Product', 'Outport')",223
"('Reference', 'Product')",238
"('Constant', 'Reference')",257
MinMax,426
Scope,139
Step,24
"('Product', 'Scope')",2
"('Product', 'MinMax')",53
"('MinMax', 'Terminator')",40
"('Polyval', 'Product')",47
Display,86
Assignment,441
Squeeze,473
"('Delay', 'Display')",15
"('Reference', 'Assignment')",95
"('Assignment', 'DiscreteFilter')",3
"('Constant', 'Assignment')",4
"('Reference', 'Abs')",76
"('Product', 'Trigonometry')",28
"('Delay', 'Product')",99
"('Trigonometry', 'Sum')",166
"('Sum', 'DiscreteZeroPole')",119
"('Reference', 'Sum')",385
"('Sum', 'Reference')",407
"('Outport', 'Delay')",918
"('Delay', 'Sum')",537
"('Delay', 'Outport')",1224
"('Squeeze', 'Signum')",36
"('Reference', 'Rounding')",6
"('Display', 'Reference')",62
Ground,30
RandomNumber,26
PermuteDimensions,479
UnaryMinus,443
DigitalClock,46
DataTypeConversion,2021
"('RandomNumber', 'Outport')",3
"('RandomNumber', 'Reference')",5
"('Reference', 'PermuteDimensions')",4
"('PermuteDimensions', 'UnaryMinus')",3
"('UnaryMinus', 'ComplexToMagnitudeAngle')",3
"('DiscreteTransferFcn', 'Outport')",34
"('Outport', 'Sum')",368
"('Reference', 'UnaryMinus')",54
"('UnaryMinus', 'Reference')",48
"('Reference', 'Terminator')",105
"('Reference', 'DataTypeConversion')",179
"('DataTypeConversion', 'DiscreteFilter')",11
"('Sum', 'Display')",2
"('PermuteDimensions', 'Reference')",2
"('Constant', 'PermuteDimensions')",32
"('Constant', 'Terminator')",108
UniformRandomNumber,28
Math,483
"('Delay', 'UnaryMinus')",24
"('Inport', 'UnaryMinus')",45
"('DiscreteIntegrator', 'Outport')",11
"('UnaryMinus', 'Delay')",51
"('Reference', 'Outport')",797
"('Delay', 'Inport')",816
"('Constant', 'Product')",146
"('Product', 'DiscreteFir')",42
"('DiscreteFir', 'Sum')",2
"('Sum', 'ComplexToMagnitudeAngle')",113
"('DiscreteIntegrator', 'Sum')",3
"('Squeeze', 'Sqrt')",2
"('ComplexToMagnitudeAngle', 'Scope')",3
"('Constant', 'DiscreteIntegrator')",9
"('Sum', 'Squeeze')",128
"('Delay', 'DataTypeConversion')",336
"('Product', 'Sum')",236
"('DataTypeConversion', 'Delay')",330
"('DiscreteZeroPole', 'Outport')",227
"('Step', 'Product')",2
"('Step', 'Scope')",2
"('Rounding', 'DiscreteIntegrator')",2
"('DiscreteIntegrator', 'DataTypeConversion')",9
"('UnitDelay', 'Math')",2
"('Math', 'Reference')",3
"('Reference', 'Constant')",157
Bias,464
DotProduct,495
Gain,490
Reshape,527
Sin,478
"('Product', 'Product')",75
"('Sqrt', 'Sum')",101
"('Sum', 'Sum')",173
"('Inport', 'Outport')",1488
"('DiscreteFilter', 'Product')",71
"('Outport', 'DiscreteFilter')",155
"('Outport', 'Product')",144
"('Outport', 'Reference')",437
"('DiscreteFilter', 'Sqrt')",88
"('DiscreteFilter', 'Constant')",9
"('Sum', 'Delay')",587
"('Constant', 'Delay')",371
"('Delay', 'Sqrt')",113
"('Inport', 'DiscreteFilter')",140
"('Sqrt', 'Polyval')",35
"('Sqrt', 'DiscreteFilter')",115
"('Product', 'Polyval')",46
"('DiscreteFilter', 'Outport')",237
"('Sqrt', 'Outport')",239
"('Inport', 'Product')",198
"('Sum', 'Sqrt')",71
"('Inport', 'Polyval')",22
"('Sum', 'DiscreteFilter')",67
"('Sqrt', 'Product')",92
"('Constant', 'Polyval')",10
"('Sum', 'Product')",269
"('Outport', 'Constant')",187
"('Outport', 'Sqrt')",179
"('Product', 'DiscreteFilter')",73
"('Polyval', 'Outport')",49
"('Outport', 'Outport')",772
"('Outport', 'Polyval')",35
"('Sqrt', 'Delay')",149
"('Inport', 'Sqrt')",192
"('Polyval', 'Sum')",55
"('DiscreteFilter', 'Sum')",53
"('Polyval', 'Sqrt')",29
"('Product', 'Constant')",116
"('Sum', 'Constant')",235
"('Constant', 'Sqrt')",11
"('Sqrt', 'Reference')",145
"('Constant', 'Outport')",214
"('Inport', 'Sum')",591
"('Constant', 'DiscreteFilter')",13
"('Sum', 'Polyval')",29
"('Inport', 'Constant')",331
"('Polyval', 'Constant')",7
"('Inport', 'Delay')",1418
"('Delay', 'Constant')",331
"('Constant', 'Display')",8
"('Signum', 'Terminator')",41
"('Constant', 'Signum')",68
"('Reshape', 'Delay')",117
"('Inport', 'S-Function')",7
"('S-Function', 'Outport')",5
"('MinMax', 'Reference')",89
"('Sum', 'MinMax')",137
"('Reference', 'MinMax')",109
"('Ground', 'Reference')",4
"('Assignment', 'Outport')",22
"('DiscretePulseGenerator', 'Sum')",2
"('Ground', 'Delay')",3
"('DiscreteStateSpace', 'Bias')",2
"('Bias', 'UnitDelay')",3
"('Trigonometry', 'Outport')",240
"('NotInPairs', 'NotInPairs')",2
"('DigitalClock', 'Scope')",2
"('Constant', 'Constant')",71
"('unknown', 'Outport')",10
"('Signum', 'Outport')",62
Clock,29
"('DigitalClock', 'Reference')",42
"('Product', 'DiscreteIntegrator')",5
"('unknown', 'Constant')",7
"('DiscreteIntegrator', 'Constant')",4
"('Inport', 'unknown')",18
"('Outport', 'DiscreteIntegrator')",19
"('unknown', 'Inport')",19
"('Constant', 'UnaryMinus')",45
"('Constant', 'Squeeze')",86
"('MinMax', 'Outport')",68
"('Sum', 'Sin')",40
"('Sin', 'Squeeze')",102
"('PermuteDimensions', 'Sin')",29
"('Inport', 'Squeeze')",270
"('Squeeze', 'Sum')",115
"('Squeeze', 'Delay')",189
"('Inport', 'Sin')",94
"('Squeeze', 'Squeeze')",83
"('Squeeze', 'Outport')",110
"('Squeeze', 'Constant')",101
"('Squeeze', 'MinMax')",63
"('Sum', 'Inport')",187
"('Sin', 'PermuteDimensions')",38
"('PermuteDimensions', 'Squeeze')",75
"('PermuteDimensions', 'MinMax')",28
"('Delay', 'PermuteDimensions')",64
"('MinMax', 'Inport')",63
"('PermuteDimensions', 'Constant')",30
"('Squeeze', 'Sin')",65
"('Delay', 'MinMax')",75
"('Inport', 'PermuteDimensions')",60
"('MinMax', 'Delay')",87
"('Squeeze', 'PermuteDimensions')",58
"('Sin', 'MinMax')",24
"('Constant', 'Sin')",23
"('Squeeze', 'Inport')",102
"('MinMax', 'PermuteDimensions')",39
"('Inport', 'MinMax')",173
"('PermuteDimensions', 'Sum')",39
