,times
Gain,772
SubSystem,8081
Inport,18594
Rounding,763
Constant,5622
Outport,13638
MinMax,739
UnaryMinus,737
Sqrt,1526
"('Inport', 'Inport')",1206
"('Inport', 'Outport')",3225
"('DiscreteFir', 'Outport')",388
"('Inport', 'ComplexToRealImag')",146
"('Inport', 'DiscreteFir')",323
"('Inport', 'ComplexToMagnitudeAngle')",184
"('ComplexToMagnitudeAngle', 'Outport')",220
"('Outport', 'ComplexToRealImag')",107
"('Delay', 'Outport')",1932
"('ComplexToMagnitudeAngle', 'Inport')",60
"('Delay', 'Inport')",1804
"('Inport', 'Delay')",2349
"('ComplexToRealImag', 'Inport')",34
"('Outport', 'ComplexToMagnitudeAngle')",124
Squeeze,739
Sin,823
"('Constant', 'Delay')",637
"('Constant', 'Squeeze')",103
"('Constant', 'Reference')",460
Terminator,294
Scope,511
Ground,81
Step,80
DataTypeConversion,2140
Abs,758
"('DiscreteZeroPole', 'Outport')",292
"('Inport', 'Reference')",2387
"('Inport', 'Trigonometry')",353
"('Abs', 'DataTypeConversion')",3
"('DataTypeConversion', 'DiscreteZeroPole')",142
"('Reference', 'Outport')",1372
"('Outport', 'Abs')",97
"('DataTypeConversion', 'Outport')",76
"('Inport', 'DiscreteZeroPole')",435
"('DataTypeConversion', 'Delay')",361
"('Reference', 'DataTypeConversion')",199
"('DataTypeConversion', 'Abs')",4
"('DiscreteZeroPole', 'Inport')",85
"('Abs', 'Reference')",78
Assignment,730
Bias,763
Clock,90
DotProduct,808
If,887
Math,753
PermuteDimensions,770
Product,2366
Sum,2918
ToWorkspace,274
"('Sqrt', 'Sin')",5
"('Inport', 'DiscreteTransferFcn')",121
"('Sum', 'Outport')",746
"('Delay', 'Constant')",504
"('Constant', 'DiscreteTransferFcn')",21
"('Constant', 'Outport')",574
"('Inport', 'Polyval')",90
"('Sum', 'Delay')",823
"('Sqrt', 'DiscreteTransferFcn')",15
"('Inport', 'Sin')",148
"('DiscreteTransferFcn', 'Outport')",106
"('Sin', 'DiscreteTransferFcn')",9
"('Sin', 'Delay')",106
"('SubSystem', 'Inport')",205
"('Sqrt', 'Delay')",267
"('Signum', 'Sqrt')",9
"('Signum', 'Sum')",83
"('SubSystem', 'SubSystem')",610
"('Delay', 'Sum')",779
"('Sum', 'Constant')",289
"('SubSystem', 'Delay')",713
"('SubSystem', 'Signum')",10
"('Inport', 'Constant')",611
"('Signum', 'Inport')",93
"('Constant', 'Polyval')",26
"('Sin', 'SubSystem')",25
"('Sum', 'Sqrt')",95
"('Delay', 'SubSystem')",689
"('Delay', 'Sin')",111
"('Polyval', 'SubSystem')",10
"('Polyval', 'Outport')",97
"('Sum', 'DiscreteTransferFcn')",16
"('Polyval', 'Inport')",36
"('Inport', 'Sum')",996
"('SubSystem', 'Polyval')",8
"('Inport', 'Signum')",205
"('Constant', 'SubSystem')",139
"('DiscreteTransferFcn', 'SubSystem')",43
"('SubSystem', 'DiscreteTransferFcn')",31
"('Sqrt', 'Polyval')",43
"('Sin', 'Inport')",55
"('Constant', 'Inport')",370
"('Delay', 'Sqrt')",216
"('Sum', 'Inport')",282
"('Constant', 'Sin')",38
"('Sqrt', 'Inport')",120
"('Inport', 'SubSystem')",437
"('Sum', 'Sin')",55
"('Sqrt', 'Outport')",363
"('Polyval', 'Sin')",5
"('Sum', 'Polyval')",45
"('Sin', 'Outport')",78
"('DiscreteTransferFcn', 'Sum')",13
"('SubSystem', 'Outport')",254
"('Inport', 'Sqrt')",354
"('Sum', 'SubSystem')",49
"('Sqrt', 'SubSystem')",35
"('Constant', 'If')",23
"('SubSystem', 'Sqrt')",44
"('Clock', 'SubSystem')",13
"('Sqrt', 'Sum')",136
"('Signum', 'SubSystem')",9
"('Outport', 'Sin')",41
"('Outport', 'Delay')",1495
"('SubSystem', 'Constant')",33
"('SubSystem', 'Sum')",57
"('If', 'SubSystem')",448
"('Delay', 'If')",149
"('Product', 'Delay')",293
"('Constant', 'Sum')",403
"('Product', 'Sqrt')",102
"('Sqrt', 'If')",85
"('Product', 'Reference')",326
"('Sum', 'If')",7
"('If', 'Inport')",82
"('If', 'Sqrt')",92
"('Sqrt', 'Constant')",36
"('Inport', 'If')",155
"('Sqrt', 'Sqrt')",40
"('Outport', 'Inport')",604
Display,259
UniformRandomNumber,85
"('Delay', 'Product')",301
"('Product', 'Assignment')",13
"('Trigonometry', 'Product')",35
"('Inport', 'Assignment')",172
"('Assignment', 'Outport')",76
"('If', 'Reference')",14
"('Sqrt', 'Trigonometry')",49
"('Assignment', 'Reference')",112
"('If', 'Delay')",111
"('Sqrt', 'Product')",108
"('Inport', 'Product')",482
"('Trigonometry', 'Sqrt')",36
"('If', 'Trigonometry')",2
"('Sqrt', 'Assignment')",34
"('Assignment', 'Inport')",63
"('Sqrt', 'Reference')",209
"('Reference', 'Assignment')",117
"('If', 'Product')",3
"('Assignment', 'Delay')",128
"('Reference', 'If')",43
"('Trigonometry', 'Inport')",136
"('Product', 'Inport')",103
"('Constant', 'Rounding')",17
"('Sqrt', 'Terminator')",5
"('Reference', 'Sqrt')",211
"('Inport', 'Bias')",89
"('Bias', 'Constant')",11
"('Bias', 'Inport')",21
"('Delay', 'Bias')",40
"('Constant', 'Bias')",17
"('Sum', 'Reference')",534
"('Reference', 'Inport')",762
"('Bias', 'Outport')",38
"('Bias', 'Sum')",10
"('Reference', 'Bias')",67
Reshape,798
"('Reshape', 'Outport')",131
"('Reshape', 'Rounding')",3
"('DiscreteFir', 'DotProduct')",94
"('Reference', 'PermuteDimensions')",44
"('PermuteDimensions', 'Delay')",117
"('Rounding', 'PermuteDimensions')",4
"('DotProduct', 'PermuteDimensions')",4
"('Constant', 'PermuteDimensions')",54
"('Constant', 'Reshape')",55
"('PermuteDimensions', 'Rounding')",4
"('Constant', 'DiscreteFir')",66
"('PermuteDimensions', 'Reference')",29
"('Reshape', 'DotProduct')",5
"('DotProduct', 'Delay')",111
"('Delay', 'Reshape')",112
"('PermuteDimensions', 'Outport')",107
"('DiscreteFir', 'Rounding')",7
"('Reshape', 'PermuteDimensions')",2
"('DotProduct', 'Reshape')",4
"('Inport', 'DotProduct')",186
"('PermuteDimensions', 'DiscreteFir')",2
"('Rounding', 'Delay')",57
"('Delay', 'DotProduct')",116
"('Inport', 'PermuteDimensions')",123
"('Outport', 'DiscreteFir')",272
"('Rounding', 'Constant')",12
"('Delay', 'Rounding')",36
"('DataTypeConversion', 'Reshape')",2
"('DotProduct', 'DataTypeConversion')",4
"('DataTypeConversion', 'Reference')",184
"('Sum', 'DotProduct')",11
"('DotProduct', 'Outport')",211
"('Reference', 'Math')",32
"('Reference', 'Sum')",525
"('Math', 'Sum')",20
"('Reference', 'DotProduct')",44
"('Outport', 'Reference')",641
"('Inport', 'Math')",57
"('Constant', 'Display')",14
"('Reference', 'Abs')",100
"('Abs', 'MinMax')",5
"('MinMax', 'Delay')",147
"('Product', 'Trigonometry')",31
"('Inport', 'UnaryMinus')",115
"('Signum', 'Outport')",112
"('UnaryMinus', 'Inport')",31
"('Trigonometry', 'UnaryMinus')",3
"('UnaryMinus', 'Product')",41
"('Product', 'Signum')",45
"('SubSystem', 'Trigonometry')",38
"('Product', 'Outport')",399
"('Signum', 'Product')",46
"('Product', 'UnaryMinus')",51
"('UnaryMinus', 'Outport')",92
"('UnaryMinus', 'Signum')",22
"('UnaryMinus', 'SubSystem')",17
"('Product', 'SubSystem')",48
"('UnaryMinus', 'Delay')",123
"('Delay', 'UnaryMinus')",83
"('DiscreteStateSpace', 'Sqrt')",6
"('Inport', 'DiscreteStateSpace')",124
"('Outport', 'DiscreteStateSpace')",46
"('Signum', 'Gain')",9
"('Reference', 'Product')",365
"('Constant', 'DiscreteZeroPole')",111
"('DiscreteZeroPole', 'DotProduct')",7
"('Outport', 'Constant')",335
"('Constant', 'Constant')",154
"('DotProduct', 'Constant')",23
"('Constant', 'DotProduct')",38
"('Outport', 'DiscreteZeroPole')",154
"('Outport', 'Outport')",1074
"('Outport', 'DotProduct')",146
"('Product', 'Scope')",3
"('Product', 'MinMax')",70
"('MinMax', 'Terminator')",40
"('Polyval', 'Product')",63
"('Polyval', 'MinMax')",5
"('Inport', 'Reshape')",100
"('MinMax', 'DataTypeConversion')",3
"('Reshape', 'DataTypeConversion')",2
"('DataTypeConversion', 'MinMax')",3
"('Inport', 'DataTypeConversion')",251
"('Outport', 'MinMax')",43
"('MinMax', 'Outport')",133
"('Delay', 'MinMax')",163
"('Abs', 'Outport')",102
"('Abs', 'Delay')",70
"('Inport', 'Abs')",132
"('DiscreteZeroPole', 'MinMax')",2
"('Delay', 'Abs')",86
"('MinMax', 'Abs')",7
"('Inport', 'MinMax')",283
"('Sum', 'Product')",322
"('Sum', 'Sum')",242
"('Product', 'Product')",107
"('DataTypeConversion', 'Product')",4
"('Product', 'DiscreteZeroPole')",88
